htid,author,title,year,authgender,female_category,clubs
mdp.39015058730436,"Riley, Gwendoline,",Sick notes / | $c: Gwendoline Riley.,2004,f,,5.962436649110603
uiuo.ark:/13960/t8gf13w9f,"Cecil, Langford.","Fenacre grange, a novel",1870,m,,5.961844197138315
inu.30000008735916,"Ngumy, James.",Poisoned bait / | $c: James Ngumy.,1992,m,mixed,5.959830740806961
njp.32101068163664,,"Frascati's, or, Scenes in Paris",1830,m,mixed,5.959830740806961
mdp.39015063546587,"Cunningham, J. W.",Sancho,1816,m,high_female,5.957877803926242
wu.89053136461,"Galdino, Dirceu.","Rosy Star / | $c: Dirceu Galdino ; cover and illustrations by Tânia R. Machado ; translated by Thomas Bonnici from the original Portuguese version, Estrela Rosa.",1993,u,high_male,5.957700327673518
mdp.39015004398650,,"Something wrong? | $c: by Mrs. Anderson ... [and others]; [editors, Liz Cooper and Roberta Henderson].",1973,u,high_male,5.957061500702933
inu.30000100607153,"Dalton, John.",The concrete sea / | $c: John Dalton.,2005,m,mixed,5.956919557758292
uc2.ark:/13960/t7hq3z334,"Marsh-Caldwell, Anne,",Tales of the woods and fields,1836,f,,5.952262851927541
uc1.32106010286729,"Lombard, Carl.",The disappearance of Rory Brophy / | $c: Carl Lombard.,1992,m,high_male,5.9513182169850625
uc1.b4938136,"Durrell, Lawrence.","Sebastian, or, ruling passions : | a novel / | $c: by Lawrence Durrell.",1983,m,mixed,5.9499726301259015
uc1.32106009467181,"Shaykh, Hanan,",Women of sand and myrrh / | $c: Hanan al-Shaykh ; translated by Catherine Cobham.,1989,u,high_female,5.948385013468843
uc1.$b19518,"McKinley, R.","Contraband, | $c: by R. McKinley & E. Rodwell; with eight illustrations from photographs.",1933,u,high_male,5.947778504728484
mdp.39015069332156,"Treasure, Joe,",The male gaze : | a novel / | $c: Joe Treasure.,2007,m,high_female,5.947576362632227
mdp.39015078570689,"Fraser, William C.",The yelpin' stane : | stories of Scottish village life / | $c: by William C. Fraser.,1928,m,high_male,5.944419676029128
mdp.39015070739548,"Smith, Joan,",What will survive / | $c: Joan Smith.,2007,f,high_female,5.940409209331534
mdp.39015073645346,,"Short story introductions. | $c: Gary Allen, D.W. Lewis, Heather Richardson. | $n: 1 /",2007,u,,5.935774915415207
mdp.39015074228795,"Adair, Gilbert.",A mysterious affair of style / | $c: Gilbert Adair.,2007,m,mixed,5.934506783141253
uc1.b3475708,"Forbes, Bryan,",The rewrite man / | $c: Bryan Forbes.,1983,m,,5.934048979640278
nyp.33433074955455,,The Metropolis,1822,u,mixed,5.931080840631858
mdp.39015013008415,"Ellis, Alice Thomas.",The clothes in the wardrobe / | $c: Alice Thomas Ellis.,1987,f,high_female,5.930494603249911
mdp.39015019872459,"Thomas, Paul,",Fur seal island : | an environment in peril / | $c: Paul Thomas.,1990,m,,5.9283851078966086
mdp.39015014597416,"Wilson, Colin,",The Janus murder case / | $c: Colin Wilson.,1984,m,mixed,5.927401190222159
uc2.ark:/13960/t2j67fq76,"Ritchie, Anne Thackeray,",Five old friends and A young prince,1890,f,high_female,5.9273309228854245
uc1.b3845908,"Jacobsen, Ernst Ludwig Harthern,","Man into woman; | an authentic record of a change of sex. The true story of the miraculous transformation of the Danish painter, Einar Wegener (Andreas Sparre) | $c: edited by Niels Hoyer [pseud.] Translated from the German by H. J. Stenning; introduction by Norman Haire.",1933,m,high_female,5.9270498701976075
inu.32000004496024,"Gore,","Mrs. Armytage, or Female domination",1836,f,high_female,5.924287604415569
uc1.$b252757,"Pain, Barry,",Humorous stories/ | $c: by Barry Pain; With an introd. by Alfred Noyes.,1930,u,mixed,5.923819678928973
mdp.39015032436480,"McKenzie, Alecia,",Satellite city / | $c: Alecia McKenzie.,1992,f,,5.922504034705874
