htid,author,title,year,authgender,female_category,england_as_such_intensity
mdp.39015041543987,"Edgell, Zee.",The festival of San Joaquin / | $c: Zee Edgell.,1997,f,high_female,4.064930489688626
mdp.39015014135654,"Morgan, Charles,",A breeze of morning.,1951,m,mixed,4.064710186163727
mdp.39015030930625,,Canadian short stories / | $c: with an introduction.,1960,u,mixed,4.064379775646237
uc1.$b482335,"Belmer, Roy.",The teeth of the dragon : | the incredible story of a woman's survival / | $c: by Roy Belmer.,1964,m,,4.06393931183961
uiuo.ark:/13960/t5z611x6q,,"Macalpine, or, On Scottish ground",1872,u,mixed,4.063058670567203
nyp.33433040405791,"Balzac, Honoré de,",Seraphita,1897,f,,4.062860578876375
uc1.32106013680225,"Haywood, Eliza Fowler,",The history of Miss Betsy Thoughtless / | $c: Eliza Haywood ; introduced by Dale Spender.,1986,f,,4.061813415061943
inu.30000026196695,"Robinson, Peter,",Dry bones that dream / | $c: Peter Robinson.,1995,m,mixed,4.061672434241523
nyp.33433074864384,"Grant, James,","The secret dispatch; or, The adventure of Captain Balgonie",1872,m,,4.0610236486943805
uiuo.ark:/13960/t2891xh63,"Hardy, Thomas,",The trumpet-major,1880,m,high_female,4.059347662830583
njp.32101068166204,"Chetwynd, Henry Wayland,",Criss-cross lovers,1890,f,,4.058688637701159
inu.30000042783195,"Kennedy, William,",Legs / | $c: [by] William Kennedy.,1976,m,,4.057519394942708
uiuo.ark:/13960/t3jw90w9z,Oliphant,"John, a love story",1870,f,high_female,4.057234048308134
mdp.39015002750852,"Rubens, Bernice.",Birds of passage / | $c: by Bernice Rubens.,1981,f,high_female,4.0534241300338465
