htid,author,title,year,authgender,female_category,gb_intensity
uc1.32106012743099,"MacAndrew, Amanda,","Party pieces : | a novel set in England and Scotland, 1968-1995 / | $c: Amanda MacAndrew",1996,f,,152.86286876662535
mdp.39015027913014,"Kuncewiczowa, Maria Szczepańska,","Polish millstones, | $c: by Maria Kuncewiczowa; translated by Stephen Garry. The cover designed by Janina Konarska.",1942,f,high_female,152.8414617201612
uc1.b3472749,"Kops, Bernard,",By the waters of whitechapel.,1969,m,mixed,152.83468820406068
uc2.ark:/13960/t46q1vc8h,"Watson, William Davy,",Trevethlan,1848,m,mixed,152.78060704827868
uiuo.ark:/13960/t8z89t58w,"James, G. P. R.",Arabella Stuart,1844,m,,152.78045596807925
uc1.$b242795,"Johnston, Mary,",Croatan / | $c: by Mary Johnston.,1924,f,,152.7746033273587
uc1.32106014344920,"Isler, Alan,",Op. non cit. : | four tales / | $c: Alan Isler,1997,m,mixed,152.76407498170013
uc2.ark:/13960/t9z030x9j,"Frankau, Gilbert,","Peter Jackson, cigar merchant",1920,m,,152.7581030509335
mdp.39015063761202,"Black, William,",Madcap Violet,1876,m,,152.7487964213139
uiuo.ark:/13960/t3320fm15,"Tytler, Sarah,",Lady Bell,1873,f,high_female,152.74480575645487
mdp.39015027323727,"Moore, William Geoffrey.","Early bird, | $c: by W. Geoffrey Moore.",1963,m,high_male,152.72209784627134
mdp.39015017652390,"Milne, Ewart,",Drums without end : | short stories mainly about the Spanish Civil War / | $c: Ewart Milne.,1985,m,mixed,152.69374819936618
nyp.33433075761837,"Sladen, Douglas Brooke Wheelton,",The Douglas romance,1916,m,high_female,152.67258227806985
njp.32101067178598,"Trollope, Frances Milton,",Tremordyn cliff,1835,f,high_female,152.66335666836292
uiuo.ark:/13960/t04x5k01r,"Besant, Walter,",All sorts and conditions of men,1882,m,,152.65650858871197
uc1.32106016939214,"Gstrein, Norbert,",The English years / | $c: Norbert Gstrein ; translated from the German by Anthea Bell,2002,m,high_female,152.60374210915435
mdp.39015078806471,"Macbeth, Nigel J.",The watchers / | $c: Nigel J Macbeth.,2008,m,mixed,152.59805118416085
uiuo.ark:/13960/t7jq1c60j,"[Gore,",Pin money;,1831,f,high_female,152.5615577683361
uiuo.ark:/13960/t4gm8rt0b,"Norris, W. E.",A bachelor's blunder,1886,f,mixed,152.55530129672007
uc2.ark:/13960/t7qn65z8j,"Yonge, Charlotte M.",A reputed changeling,1889,f,high_female,152.55255255255253
uc2.ark:/13960/t6sx65p3n,"Marsh, John B.,",The life and adventures of Robin Hood,1865,m,high_male,152.546663291544
uc1.b3451115,"Doody, Margaret Anne.",The alchemists / | $c: Margaret Doody.,1980,f,mixed,152.48854080196344
njp.32101064912080,"Marks, Mary A. M.",Five-chimney farm,1877,f,high_female,152.4569016066612
uc2.ark:/13960/t49p2z95c,"Niven, Frederick,",The island Providence,1910,m,,152.44227448137644
mdp.39015011546606,"Defoe, Daniel,",The Shakespeare Head edition of the novels and selected writings of Daniel Defoe.,1974,m,high_female,152.411595982261
mdp.39015061210392,"Neate, Patrick.",City of tiny lights / | $c: Patrick Neate.,2005,m,mixed,152.40936506907065
