htid,author,title,year,authgender,female_category,urban_gb_intensity
uc1.b3327366,"Merriman, Henry Seton,",The money-spinner,1897,f,high_female,48.08765692891615
njp.32101064789918,"Pickering, Ellen,","The prince and the pedlar, or, The siege of Bristol",1839,f,high_male,48.08385824878589
uc2.ark:/13960/t1gh9gk7s,"Buchanan, Robert Williams,",The new Abelard,1884,m,,48.078574126858754
mdp.39015062852390,"McCall Smith, Alexander,",Espresso tales : | the latest from 44 Scotland Street / | $c: Alexander McCall Smith ; illustrated by Ian McIntosh.,2005,m,,48.07855087184696
mdp.39015063558194,"Oliphant,",The railway man and his children,1891,f,,48.07634523623515
uc1.$b193205,"Morris, Ira J.",My East was gorgeous,1958,m,,48.06417395916203
mdp.39015000643042,"Croft-Cooke, Rupert,",Nasty piece of work.,1973,m,,48.06408544726302
mdp.39015080853487,"Duns, Jeremy,",Free agent / | $c: Jeremy Duns.,2009,m,,48.063591829189384
uc1.$b63960,"Whitfield, Christopher.","Together and Alone, | two short novels | $c: by Christopher Whitfield, with engravings by John O'Conner.",1945,m,,48.06213472777607
uiuo.ark:/13960/t2m623x3j,"Plumptre, Anne,",The history of myself and my friend;,1813,f,mixed,48.05737311005139
nyp.33433076087018,"Pope, Alexander,",The works of Alexander Pope,1824,m,mixed,48.033453887884264
uiuo.ark:/13960/t7tm7kq3x,"Edwards, Harry Bennett,",A tantalus cup;,1879,f,,48.02843283223668
uc1.$b255853,"Ellis, Royston,",The rush at the end / | $c: Royston Ellis.,1967,m,,48.025764410083525
uc1.32106006624362,"Barth, John.",The Sot-weed factor / | $c: by John Barth.,1965,m,,48.02293801509898
mdp.39015049907325,"Wills, C. J.",Laura Ruthven's widowhood,1892,m,high_female,48.017703918662185
uc1.32106018962420,"Fane, Julian,",Odd woman out / | $c: Julian Fane,2006,m,,48.01466629806923
mdp.39015001785305,"Woolf, Virginia,","The Captain's death bed, | and other essays.",1950,f,mixed,47.98694755026632
inu.32000006736120,"Wodehouse, P. G. (Pelham Grenville),",Uncle Dynamite : | [a novel] / | $c: by P. G. Wodehouse.,1948,m,,47.98560431870439
mdp.39015016452115,"Bowen, John,","The birdcage, | a novel.",1962,m,,47.97717842323651
mdp.39015073484035,"Henty, G. A.",The lost heir,1899,m,,47.9612973183379
uiuo.ark:/13960/t9766490g,"Lee, Holme,",Mrs. Denys of Cote,1880,f,,47.9539641943734
mdp.39015039731644,"Mottram, R. H. (Ralph Hale),",Dazzle.,1932,m,mixed,47.95300605406701
uiuo.ark:/13960/t55d93269,"Balfour, Alexander,","The foundling of Glenthorn, or, The smuggler's cave",1823,m,mixed,47.95243118826125
uc2.ark:/13960/t3hx1bd1z,"Grant, James,",Second to none,1864,m,mixed,47.929064983823935
mdp.39015007028478,L. E. L.,Romance and reality,1831,f,high_female,47.92497798041552
mdp.39015009046296,"Thackeray, William Makepeace,",Works,1883,m,mixed,47.919582228369485
