text_string,formatted_address,location_type,occurs_100k
finland,Finland,country,0.05395
jerom,"Jerome, AZ 86331, USA",locality,0.05395
leamington,"Leamington, ON, Canada",locality,0.05393
newport,"Newport, RI, USA",locality,0.05392
buda,"Buda, TX 78610, USA",locality,0.0539
bologna,"Bologna, Italy",locality,0.05386
beaufort,"Beaufort, SC, USA",locality,0.05384
santa clara,"Santa Clara, CA, USA",locality,0.05382
barbary,"The Barbary, 951 Frankford Ave, Philadelphia, PA 19125, USA",bar,0.0537
luxembourg,Luxembourg,country,0.05369
cromwell,"The Cromwell, 3595 S Las Vegas Blvd, Las Vegas, NV 89109, USA",lodging,0.05346
faulconbridge,"Faulconbridge NSW 2776, Australia",locality,0.05327
spencer,"Spencer Gifts, 465 Cedar Sage Dr, Garland, TX 75040, USA",department_store,0.05322
ildica,"San Diego Window Cleaning, 8709 Ildica St, Spring Valley, CA 91977, USA",point_of_interest,0.05307
botany bay,"Botany Bay, New South Wales, Australia",natural_feature,0.05302
petersburg,"St Petersburg, Russia",locality,0.05284
samaria,Samaria,administrative_area_level_4,0.05278
melun,"Melun, France",locality,0.05259
panama,Panama,country,0.0525
arras,"Arras, France",locality,0.05245
dorchester,"Dorchester, Boston, MA, USA",neighborhood,0.05235
somerville,"Somerville, MA, USA",locality,0.05233
cashmire,"Cashmere, WA 98815, USA",locality,0.05232
glenalta,"Glenalta SA 5052, Australia",locality,0.05227
asterabad,"Gorgan, Golestan, Iran",locality,0.05204
flint,"Flint, MI, USA",locality,0.05203
golconda,"Golconda Fort, Khair Complex, Ibrahim Bagh, Hyderabad, Telangana 500008, India",point_of_interest,0.05162
black sea,Black Sea,natural_feature,0.05149
ravenna,"Ravenna RA, Italy",locality,0.0512
kentucky,"Kentucky, USA",administrative_area_level_1,0.05106
fairfield,"Fairfield, CA, USA",locality,0.05103
highlands,"Highlands, 150 W 10th St, New York, NY 10014, USA",bar,0.05091
syracuse,"Syracuse, NY, USA",locality,0.0509
michigan,"Michigan, USA",administrative_area_level_1,0.05084
jordan,Jordan,country,0.05083
niagara,"Niagara Falls, Niagara Falls, NY 14303, USA",natural_feature,0.05063
patroon,"Aretsky's Patroon, 160 E 46th St, New York, NY 10017, USA",bar,0.05028
messina,"Messina ME, Italy",locality,0.05022
hamadan,"Hamedan, Hamadan, Iran",locality,0.05006
hatton,"Hatton Marine, 4735 Shilshole Ave NW, Seattle, WA 98107, USA",store,0.05001
tyrconnel,"Tyrconnel QLD 4467, Australia",locality,0.04997
san pietro,"San Pietro, 18 E 54th St, New York, NY 10019, USA",bar,0.04978
leghorn,"Leghorn Chicken, 959 N Western Ave, Chicago, IL 60622, USA",restaurant,0.04968
