htid,author,title,year,authgender,female_category,farm
mdp.39015054135390,"Mitton, Roger.",Master and son / | $c: by Roger Mitton.,1980,m,high_male,0.0
wu.89100091255,"Aleksinskaia, Tatiana.",With the Russian wounded,1916,u,high_male,0.0
coo.31924013236355,"Waugh, Alec,","The loom of youth, | $c: by Alec Waugh; with a preface by Thomas Seccombe.",1929,m,high_male,0.0
coo.31924013531680,"Lee, Vernon,",Ottilie,1893,f,high_male,0.0
mdp.39015055609716,"Bailey, Eleanor.",Marlene Dietrich lived here / | $c: Eleanor Bailey.,2002,f,,0.0
coo.31924051745200,"Haig-Brown, Roderick Langmere,","Silver : | the life story of an Atlantic salmon / | $c: by R.L. Haig- Brown; illustrated by Capt. J.P. Moreton, M.C.",1931,m,,0.0
mdp.39015056480299,"Barry, Angela.",Endangered species / | $c: Angela Barry.,2002,f,,0.0
mdp.39015056477196,"Ramsay, Paulette.",Aunt Jen / | $c: Paulette Ramsay.,2002,f,mixed,0.0
mdp.39015056468906,"Hong, Ying,",K : | the art of love / | $c: Hong Ying ; translated by Nicky Harman & Henry Zhao.,2002,u,high_male,0.0
mdp.39015056429346,"Flint, James,",52 ways to magic America / | $c: James Flint.,2002,m,mixed,0.0
mdp.39015056429239,"Seabrook, Mike,",Full circle / | $c: Mike Seabrook.,1997,m,high_male,0.0
mdp.39015056303624,"Neate, Patrick.",The London pigeon wars / | $c: Patrick Neate.,2003,m,mixed,0.0
mdp.39015056262796,"MacLeod, Sheila.",Xanthe and the robots / | $c: Sheila MacLeod.,1979,f,,0.0
mdp.39015056210068,,Whispers in the walls : | new black and Asian voices from Birmingham / | $c: edited by Leone Ross and Yvonne Brisset.,2001,u,,0.0
mdp.39015056208153,"Josipovici, Gabriel,",Goldberg : | variations / | $c: Gabriel Josipovici.,2002,m,,0.0
mdp.39015056208088,"Mortimer, John,",Rumpole and the Primrose Path / | $c: John Mortimer.,2002,m,,0.0
wu.89099759581,"Housman, Laurence,",A thing to be explained / | $c: by Laurence Housman ; illustrated by C.T. Nightingale.,1920,m,high_female,0.0
mdp.39015053531789,"Cromwell, John.",A grain of sand / | $c: John Cromwell.,1953,m,,0.0
mdp.39015056190716,"Coelho, Paulo,",The devil and Miss Prym / | $c: Paulo Coelho.,2001,m,high_female,0.0
mdp.39015056186672,"Habila, Helon,",Waiting for an angel / | $c: Helon Habila.,2002,f,,0.0
mdp.39015056185203,"Cassin, Frieda.",With silent tread : a West Indian novel / | $c: Frieda Cassin ; edited and with a new introduction by Evelyn O'Callaghan.,2002,f,high_female,0.0
mdp.39015056167979,"Svit, Brina.",Con Brio / | $c: Brina Svit.,2002,u,high_female,0.0
mdp.39015056165783,"Hofmann, Gert.",Luck / | $c: Gert Hofmann ; translated from the German by Michael Hofmann.,2002,u,mixed,0.0
mdp.39015053541218,"Walker-Smith, Derek,",Out of step / | $c: by Derek Walker Smith.,1930,u,high_male,0.0
mdp.39015056033478,"Morgan,",The missionary,1811,f,high_male,0.0
mdp.39015055858941,"Stock, Francine",Man-made fibre / | $c: Francine Stock,2002,f,,0.0
mdp.39015055858453,"Cooper, Dennis,",My loose thread / | $c: Dennis Cooper.,2002,m,high_male,0.0
wu.89099922346,"Dunning, Katherine.",Whatever the heart appoints.,1950,f,,0.0
mdp.39015055804275,"Brookner, Anita.",The next big thing / | $c: Anita Brookner.,2002,f,,0.0
