htid,author,title,year,authgender,female_category,vertical
uc2.ark:/13960/t21c2719w,"Wylde, Henry,",Severed ties,1889,f,,259.8282873926796
mdp.39015065597059,"Trollope, Anthony,",The chronicles of Barsetshire,1891,m,high_female,259.79281320815795
uiuo.ark:/13960/t78s53x1v,"Gordon,",The fortunes of the Falconars,1844,f,,259.7829661295626
njp.32101067628683,"Baring-Gould, S.",The Pennycomequicks;,1889,m,,259.7037972906577
uiuo.ark:/13960/t9086v972,"James, G. P. R.",The string of pearls,1832,m,high_male,259.68137507470993
nyp.33433075753685,"Strickland, Jane Margaret,",Adonijah,1856,f,,259.6524651620139
mdp.39015064003000,"Bray,",The novels and romances of Anna Eliza Bray,1815,f,,259.65216617738633
nyp.33433074852785,"Birmingham, George A.,",Hyacinth,1906,m,,259.64947321116495
uiuo.ark:/13960/t17m0tr07,"Meredith, George,",Beauchamp's career,1876,m,high_female,259.64929230471955
mdp.39015003941435,"Gilliatt, Penelope.",A state of change.,1967,f,high_male,259.64500513422325
inu.30000027389893,"Brooke, Cassandra.",Dear Venus / | $c: Cassandra Brooke.,1992,f,mixed,259.59947509556685
uc2.ark:/13960/t6f191d5f,"Cooper, Arthur Nevile.",Quaint talks about long walks,1907,m,,259.59134270834994
uc2.ark:/13960/t06w9cb40,"Newbolt, Henry John,",Taken from the enemy,1892,m,,259.59114394828146
mdp.39015006945045,"Martineau, Harriet,",Illustrations of political economy,1832,f,,259.57277957807025
mdp.39015056303194,"Edric, Robert,",Cradle song / | $c: Robert Edric.,2003,m,,259.57026700240715
nyp.33433074871454,"Keary, C. F.",The journalist,1898,u,mixed,259.5554405569526
nyp.33433074875950,"MacDonald, George,",David Elginbrod,1863,m,mixed,259.55428264566365
uiuo.ark:/13960/t81k00j7q,"Payn, James,",Fallen fortunes,1876,m,,259.546076481458
uc2.ark:/13960/t6pz56n1p,"Mayo, Isabella Fyvie,",The occupations of a retired lfe,1869,f,high_female,259.54511303872687
mdp.39015004805001,"Theroux, Paul.",The consul's file / | $c: Paul Theroux.,1977,m,mixed,259.4765342960289
uiuo.ark:/13960/t9r21h94b,,"The mountain chief, or, The descendant of William Tell, the deliverer of Switzerland",1811,u,high_male,259.46275946275944
uc1.$b252121,"Charteris, Hugo.",The river-watcher.,1965,m,high_female,259.456399531406
njp.32101075689008,"Defoe, Daniel,",Romances and narratives,1899,m,high_male,259.45144551519644
uc1.b3326052,"Smedley, Francis Edward,",Harry Coverdale's courtship and all that came of it,1913,m,mixed,259.44599631586686
njp.32101065845842,"Munro, Neil,",The daft days.,1923,m,,259.4305272356539
uiuo.ark:/13960/t3tt5933r,"Austin, Alfred,",Jessie's expiation,1867,m,mixed,259.399113446068
uiuo.ark:/13960/t4cn7cf97,"Baldwin, Alfred,",Richard Dare,1894,f,,259.3871587730675
mdp.39015064913356,"Tennant, Emma.",Pemberley revisited / | $c: Emma Tennant.,2005,f,high_female,259.37702638301863
uc2.ark:/13960/t46q2204h,"Walston, Charles,",What may we read?,1911,m,high_female,259.3326726131483
