htid,author,title,year,authgender,female_category,geo_range
mdp.39015041621841,"Karagiōrgas, Geōrgios,",The fall of a dictator / | $c: George Karagiorgas.,1997,u,high_male,3683.122493408452
uiuo.ark:/13960/t7dr3bj5w,"Cooper, Katherine,",The High Mills,1875,f,mixed,3681.056294507192
nyp.33433081859401,"Edgeworth, Maria,",The novels of Maria Edgeworth,1893,f,high_female,3673.478833112449
uiuo.ark:/13960/t8rb7ns03,"Ponsonby, Emily,",Pride and irresolution,1850,f,high_female,3660.257453868403
mdp.39015039402436,"Johnson, Samuel,","Rasselas, prince of Abyssinia",1884,m,high_female,3659.683209073968
uiuo.ark:/13960/t5m90wk7m,"Pemberton, T. Edgar",A very old question,1877,m,mixed,3659.682315824122
uc1.b3322307,"Banks, G. Linnaeus",In his own hand,1885,f,,3659.323550321688
nyp.33433075873343,"Potter, F. Scarlett",Melcomb Manor,1875,f,mixed,3650.4457869898897
nyp.33433074852983,"Hawtrey, Valentina.",Suzanne,1906,u,,3644.903620257183
njp.32101069165353,"Bury, Charlotte (Campbell)",The devoted,1836,f,,3635.301339379419
uc1.b3578776,"Housman, Laurence,",The field of clover,1898,m,high_male,3618.666062365528
dul1.ark:/13960/t8qc0s39h,"Riddell, J. H.,",Mitre Court,1885,f,mixed,3615.664694878272
mdp.39015031234639,"Hartley, L. P. (Leslie Poles),","The harness room, | $c: [by] L. P. Hartley.",1971,m,high_male,3614.2950665169906
mdp.39015066843403,"Crace, Jim.",The pesthouse / | $c: Jim Crace.,2007,m,high_female,3589.174095486449
nyp.33433075760854,,"The extraordinary confession, life, and singular adventures of Wolfe",1804,f,,3571.709426227393
uc1.b3321920,"Besant, Walter,",The chaplain of the fleet,1881,m,mixed,3571.295083446112
njp.32101063577561,,Laxdæla saga,1899,u,,3564.0846745452145
inu.30000120843333,"Sisson, Rosemary Anne.",Escape from the dark / | $c: Rosemary Anne Sisson.,1976,f,mixed,3557.7587527729006
mdp.39015002711649,"Powys, Theodore Francis,",Captain Patch : | twenty-one stories / | $c: by T.F. Powys.,1935,m,mixed,3553.8605830591187
mdp.39015008875604,"Atkinson, M. E.",Hunter's moon ; | a book for boys and girls / | $c: Illustrated by Charlotte Hough.,1952,u,high_male,3522.03729558252
inu.39000005880526,"Wright, Harold Bell,","Long ago told (Huh-kew ah-kah) legends of the Papago Indians, | $c: arranged by Harold Bell Wright; illustrated by Mrs. Katherine F. Kitt.",1929,m,,3496.5378378910054
uiuo.ark:/13960/t0ht34m31,"Jolly, Emily.",Bond and free,1860,f,mixed,3495.455147061273
mdp.39015053654912,"Edgeworth, Maria,",Tales of fashionable life,1809,f,,3485.8251257423663
njp.32101062729254,"Bernhard, Carl,",The Queen of Denmark,1846,f,,3483.2136945210686
dul1.ark:/13960/t3xs69d09,"Macquoid, Katharine S.",In the sweet spring-time,1880,f,high_female,3474.32425370648
mdp.39015081739347,,The black book / | $c: edited by Tony Reed.,1989,u,,3444.230193168296
inu.30000036433526,"Osoba, Funmi.","Benin folklore : | [a collection of classic folktales and legends]  / | $c: retold by Funmi Osoba, illustrations by Tam Joseph.",1993,u,high_male,3441.844301665523
mdp.39015054286797,"Miller, Harland,","First I was afraid, I was petrified / | $c: Harland Miller.",2000,m,high_female,3441.4346579821413
nyp.33433074868237,"Hogg, James,",The brownie of Bodsbeck;,1818,m,,3436.3983202741983
mdp.39015030737657,"Dick, Kay.",They : | a sequence of unease / | $c: Kay Dick.,1977,f,,3405.4803046280267
nnc1.1002317605,"Bray,",The protestant;,1828,f,,3400.436732557089
mdp.39015010966482,"Williamson, Thames,","Hunky, | $c: by Thames Williamson.",1929,u,high_male,3373.3464669020605
njp.32101068970696,"Kavanagh, Julia,",Nathalie,1850,f,high_female,3371.8096801361835
mdp.39015063942398,"Lustgarten, Edgar,",A case to answer.,1947,m,mixed,3327.8596666779263
uiuo.ark:/13960/t87h24g20,"Maughan, Janet.",The co-heiress,1866,f,high_female,3300.8076257979637
nyp.33433068197874,"Bennett, Charles H.","The fables of Aesop and others, translated into human nature",1857,m,high_male,3300.5200612129192
