htid,author,title,year,authgender,female_category,gb_fraction
mdp.39015058823215,"Shacklady, Helen,",The lacquered box : | a novel / | $c: by Helen Shacklady.,2003,f,high_female,0.5555555555555558
uc1.b4956668,"Mais, Roger.",Black lightning / | $c: Roger Mais ; introduction by Jean D'Costa.,1983,m,,0.5555555555555557
mdp.39015053616499,"Mortimer, Penelope,",My friend says it's bullet-proof.,1967,f,,0.5555555555555557
uc1.$b244324,"Williamson, Henry,",It was the nightingale.,1962,m,,0.5555555555555557
uc1.32106012161714,"Fenton, Kate",Lions and liquorice / | $c: Kate Fenton,1995,f,,0.5555555555555556
uiuo.ark:/13960/t3cz3kz69,"Gibbon, Charles,",Robin Gray,1869,m,mixed,0.5555555555555556
uiuo.ark:/13960/t0wq0bg2g,"Farjeon, B. L.",The Duchess of Rosemary Lane,1876,m,,0.5555555555555556
mdp.39015063551652,"Crockett, S. R.",The Stickit minister & some common men,1893,m,,0.5555555555555556
uc1.32106012285224,"Saramago, José",All the names,1999,u,high_male,0.5555555555555556
uiuo.ark:/13960/t8pc3kb71,"Oliphant,",A rose in June,1874,f,,0.5555555555555556
nyp.33433008142238,"Owen, Fairleigh.",The Lathams: a tale,1858,u,,0.5555555555555556
njp.32101067644078,"Ferrier, Susan,",The novels of Susan Edmonstone Ferrier,1894,f,,0.5555555555555556
uc1.b3325525,"Mackenzie, Mary Jane.",Private life,1830,f,mixed,0.5555555555555556
njp.32101067708311,"Berens, Louise.",A woman with a past. A novel,1886,f,high_female,0.5555555555555556
wu.89005070131,"Gould, Nathaniel,",Breaking the record,1916,m,mixed,0.5555555555555556
mdp.39015077126335,"Titchmarsh, Alan.",Folly / | $c: Alan Titchmarsh.,2008,m,mixed,0.5555555555555556
uiuo.ark:/13960/t2891qf76,"Lucas, Reginald Jaffray,",Hoist with her own petard,1894,m,mixed,0.5555555555555556
uiuo.ark:/13960/t2794ns66,"Cooper, Katherine,",The High Mills,1875,f,mixed,0.5555555555555556
uc2.ark:/13960/t40r9qf1w,"Mathers, Helen,",Found out;,1885,f,,0.5555555555555556
mdp.39015063751930,"Banim, John,",The smuggler;,1831,m,mixed,0.5555555555555555
nyp.33433082345525,"Elliott, E. S.",The two watches,1874,f,mixed,0.5555555555555555
mdp.39015066059729,"Wain, John.",Hurry on down / | $c: John Wain.,1953,m,high_male,0.5555555555555555
nyp.33433075767693,"Whitelaw, David.",MacStodger's affinity;,1906,m,high_male,0.5555555555555555
mdp.39015005622876,"Lauder, Thomas Dick,",Legendary tales of the Highlands,1841,m,high_male,0.5555555555555555
uiuo.ark:/13960/t5fb5dv73,"Day, Julia.",The Gilberts & their guests,1858,f,high_female,0.5555555555555555
uiuo.ark:/13960/t7np2fs5c,"Feilden, Phoebe M.","Grantham secrets, a novel",1875,f,high_female,0.5555555555555555
mdp.39015016434865,"Green, F. L. (Frederick Lawrence),",Clouds in the wind.,1950,m,,0.5555555555555555
inu.30000011354887,"Fowles, John,",The French lieutenant's woman.,1969,m,,0.5555555555555555
uiuo.ark:/13960/t9377zh6g,"MacDonald, George,",St. George and St. Michael,1876,m,,0.5555555555555555
