htid,author,title,year,authgender,female_category,streets
mdp.39015005299253,"Vieira, José Luandino,",The real life of Domingos Xavier / | $c: [by] Luandino Vieria ; translated [from the Portuguese] by Michael Wolfers.,1978,u,,126.02217990366304
mdp.39015028870825,"Saer, Juan José,",Nobody nothing never / | $c: Juan José Saer ; translated by Helen Lane.,1993,m,high_female,125.99373376297568
mdp.39015078809665,"Hayder, Mo.",Skin / | $c: Mo Hayder.,2009,u,,125.94840667678301
mdp.39015049020368,"Lu, Wenfu.",The gourmet and other stories of modern China/ | $c: Lu Wenfu.,1987,u,high_male,125.92527703560948
mdp.39015074051759,"Butlin, Ron,",No more angels : | stories / | $c: by Ron Butlin.,2007,m,,125.91670125916701
dul1.ark:/13960/t91842b05,"Wood, Henry,",Dene hollow,1872,f,mixed,125.83045956032346
njp.32101067486900,"Walpole, Hugh,",A Hugh Walpole anthology,1921,m,mixed,125.79889528326441
uc1.$b244928,"Sowerby, Benn",Fright in the forest : | a novel / | $c: Benn Sowerby ; with an introd. by Siegfried Sassoon.,1951,u,,125.78199993379894
mdp.39015055804291,"Aldiss, Brian Wilson,",The Cretan teat / | $c: Brian Aldiss.,2002,m,,125.69632909584345
uc1.$b562035,"McDougall, Ian.",African turmoil.,1954,m,high_male,125.68735271013354
uc1.$b302073,"Mottram, R. H. (Ralph Hale),","The crime at Vanderlynden's, | $c: by R. H. Mottram.",1926,m,high_male,125.65012008334261
mdp.39015034890296,,The hurt world : | short stories of the troubles / | $c: edited by Michael Parker,1995,u,mixed,125.60493553511397
uc1.32106012408750,,The hurt world : | short stories of the troubles / | $c: edited by Michael Parker,1995,u,mixed,125.53815252147072
mdp.39015012430354,"Greene, Graham,",The collected edition.,1970,m,,125.46301828175409
inu.30000055840536,"Mousley, K. M. (Keith M.),",The baobab tree / | $c: K.M. Mousley.,1997,m,high_male,125.41697913164904
mdp.39015001115347,"Heath, Roy A. K.",Genetha : | a novel / | $c: by Roy A.K. Heath.,1981,m,,125.38247406078175
mdp.39015063276706,"Taylor, Chad,",Departure lounge / | $c: Chad Taylor.,2006,m,,125.36564981195153
umn.31951p00009051h,"Vassanji, M. G.",The gunny sack / | $c: M.G. Vassanji.,1989,u,,125.36041118214868
inu.30000087202325,"Johnson, Jason,",Wound Licker / | $c: Jason Johnson.,2005,m,high_male,125.27705502553725
inu.30000110614207,"Williams, Niall,",Boy and man / | $c: Niall Williams.,2008,m,,125.19529431240882
uc1.b3472749,"Kops, Bernard,",By the waters of whitechapel.,1969,m,mixed,125.16633947746347
mdp.39015000547029,"Plunkett, James,",Farewell companions / | $c: James Plunkett.,1977,m,high_male,125.12956011320735
uc2.ark:/13960/t9d50n519,"Davies, W. H.",Beggars,1909,m,high_male,125.1137397634213
mdp.39015050559577,"Household, Geoffrey,",The lives and times of Bernardo Brown.,1973,m,high_male,125.10924060530795
mdp.39015011014050,"Bower, Ursula Graham,",Naga path.,1950,f,high_male,125.0806972240155
mdp.39015010353400,"Sisson, C. H. (Charles Hubert),",Christopher Homm / | $c: C.H. Sisson.,1984,m,mixed,125.04376531786126
mdp.39015050483307,"Sillitoe, Alan,",Birthday / | $c: Alan Sillitoe.,2001,m,,125.032384514007
uc1.$b164875,"Bacchelli, Riccardo,",Love town. | $c: Translated by Orlo Williams.,1930,m,mixed,124.97288811311596
mdp.39015025098750,"Mottram, R. H. (Ralph Hale),","The Spanish farm trilogy, 1914-1918.",1930,m,,124.96080565136397
mdp.39015077129529,"Zouroudi, Anne.",The taint of Midas / | $c: by Anne Zouroudi.,2008,f,high_male,124.84139003724776
mdp.39015024987615,"Mwangi, Meja,",The cockroach dance / | $c: Meja Mwangi.,1989,u,,124.81781250969082
nyp.33433043830078,"Stevenson, Rennie.",Through Rhodesia with the sharpshooters,1901,f,high_male,124.78163214374844
uc1.$b245242,"Tuohy, Frank,",The admiral and the nuns : | with other stories / | $c: by Frank Tuohy.,1962,m,mixed,124.76401543133875
uc2.ark:/13960/t01z45s71,"Gilbreath, Olive.",Russia in travail,1918,f,,124.7291039772993
inu.30000132128434,"Werner, Bruno E. (Bruno Erich),",The slave ship.,1953,m,,124.72228058489833
mdp.39015010553710,"Green, Henry,",Living; | a novel.,1948,m,,124.68403930947711
mdp.39015034300999,"Gébler, Carlo,",The cure / | $c: Carlo Gébler.,1994,m,mixed,124.61229204755278
uc1.31822038204657,"Firbank, Ronald,",Odette D'Antrevernes;,1905,m,high_female,124.5502352615555
uc1.$b794766,"Frankland, Edward  Percy,",England growing. / | $c: by Edward Frankland.,1944,m,mixed,124.54060389983029
uc2.ark:/13960/t87h1n468,"Weyman, Stanley John,",The red cockade,1895,m,,124.54027126427835
mdp.39015005594836,"Shadbolt, Maurice.",The New Zealanders: | a sequence of stories.,1960,m,mixed,124.5136186770428
mdp.39015048899127,"Spring, Howard,",Hard facts.,1944,m,mixed,124.46176086334717
mdp.39015017937668,"Roy, Namba.",No black sparrows / | $c: Namba Roy ; edited by Jacqueline Roy.,1989,u,high_male,124.40165508288936
mdp.39015058467526,"Marotta, Giuseppe,",Return to Naples. | $c: Translated from the Italian by Frances Frenaye. With illustrations by Laboccetta.,1951,u,,124.34460033573042
mdp.39015038143403,"Merriman, Catherine.",State of desire / | $c: Catherine Merriman.,1996,f,mixed,124.34214331154936
mdp.39015031234480,"Holder, Philip.",Captain Mahjong / | $c: Philip Holder.,1976,m,,124.32366176959849
mdp.39015028411851,"Salkey, Andrew.",Riot / | $c: Andrew Salkey ; illustrated by William Papas.,1967,m,mixed,124.20347769737553
nyp.33433075766042,"Pemberton, Max,",The phantom army,1898,m,,124.1833594298364
mdp.39015076550535,"Richards, Cecil John,",Wind over Fowlmere : | and other stories.,1953,m,,124.1789104751294
mdp.39015049831566,"Elsner, Gisela,",The giant dwarfs : | a contribution / | $c: Gisela Elsner ; translated from the German by Joel Carmichael.,1965,f,high_male,124.17077734308556
nyp.33433074892534,"Mathew, Frank James,",At the rising of the moon,1893,m,,124.16771639373763
inu.30000118579634,,"Countryside tales from ""Blackwood.""",1947,u,high_male,123.92652276269106
uc2.ark:/13960/t88g8hr9r,"Prior, Herman Ludolphus,",Six months hence,1870,m,,123.9102535734832
uiuo.ark:/13960/t5fb5bz07,"Besant, Walter,",This son of Vulcan,1876,m,,123.85726924211147
mdp.39015062281541,"Burke, Thomas,",Vagabond minstrel; | the adventures of Thomas Dermody.,1936,m,high_male,123.84148290188558
njp.32101033250323,"Kay-Shuttleworth, James,",Scarsdale,1860,m,,123.8374756968954
uc1.32106010933874,"Mrabet, Mohammed,",The lemon: a novel; | $c: translated from the Moghrebi and edited by Paul Bowles in collaboration with Mohammed Mrabet.,1969,m,high_male,123.78326675293985
uc1.$b662558,,"Countryside tales from ""Blackwood.""",1947,u,high_male,123.77979615661663
uc1.32106015852061,"Yahia, Mona",When the grey beetles took over Baghdad / | $c: Mona Yahia,2000,f,high_male,123.76319098371988
inu.32000001184730,"Sillitoe, Alan.",The loneliness of the long-distance runner.,1959,m,,123.64378226329943
mdp.39015031237988,"Hanley, James,",What Farrar saw | $c: [by] James Hanley.,1946,m,mixed,123.58462206486523
mdp.39015008919477,"Packe, Michael St. John.",First Airborne.,1948,m,,123.56963910894441
mdp.39015000614423,"Smith, Anthony,",Sea never dry.,1958,m,high_male,123.55557647501824
mdp.39015001533705,"Bates, H. E. (Herbert Ernest),","The woman who had imagination and other stories, | $c: by H. E. Bates.",1934,m,mixed,123.47722036228471
mdp.39015059375884,,The New British novelist;,1830,u,,123.46198633500288
uc2.ark:/13960/t5h991x77,"Little, Frances Delanoy.",Sketches in Poland,1914,f,high_female,123.4487687609642
