htid,author,title,year,authgender,female_category,urban_metric_gb
mdp.39015022200417,"Macaulay, Rose,",Orphan Island.,1961,f,,-0.41253580693860703
uiuo.ark:/13960/t42r4bk68,"Marryat, Florence,",A fatal silence,1891,f,high_female,-0.4126150293128194
uc2.ark:/13960/t0ht2j548,"Beresford, J. D.",The house in Demetrius Road,1914,m,,-0.4126371995459899
uiuo.ark:/13960/t0jt09d3k,"Smith, Charlotte.",The republican's mistress;,1821,f,high_female,-0.4128443367921029
uiuo.ark:/13960/t7gq7k57m,"Winter, John Strange,",The soul of the bishop,1893,m,mixed,-0.4128587812236435
mdp.39015047755536,"Chapman, Robin,",The Duchess's diary / | $c: Robin Chapman.,1980,u,,-0.41288888413696695
nyp.33433081852703,"James, Henry,",The madonna of the future,1879,m,mixed,-0.4129070847179094
inu.32000004080067,"Benn, June Wedgwood.","The woman's view: | an anthology of prose passages about women, from the eighteenth century to the present day; | $c: edited by June Wedgwood Benn.",1967,f,high_female,-0.41293101964880075
uc2.ark:/13960/t4pk0d46m,"Vazov, Ivan Minchov,",Under the yoke;,1912,m,mixed,-0.41293210263929825
uiuo.ark:/13960/t08w40r2k,,Out of the meshes,1868,u,,-0.4130831050397738
nyp.33433074964770,"Banim, John,",Tales,1825,m,,-0.413229155111351
dul1.ark:/13960/t6ww88v9c,"Bayfield, E. G.,",A winter in Bath,1807,f,high_female,-0.4132515877587456
mdp.39015011319889,"Cixous, Hélène,",Angst / | $c: Hélène Cixous ; translated from the French by Jo Levy.,1985,u,high_male,-0.4133853909350648
uiuo.ark:/13960/t5cc1n210,"Scargill, William Pitt,","Penelope, or, Love's labour lost",1828,m,,-0.41364097564834834
mdp.39015013312585,"Farah, Nuruddin,",Sardines : | a novel / | $c: Nuruddin Farah.,1981,m,,-0.41374466257883424
hvd.32044020392502,"Hatton, Ann Julia,","Guilty or not guilty, or, A lesson for husbands",1822,f,high_female,-0.41396491989810635
uc1.b5015395,"Driver, C. J.","Death of fathers, | $c: [by] C.J. Driver.",1972,u,mixed,-0.4141038176939769
uc1.32106010929930,"Babelʹ, I. (Isaak),",Red cavalry,1929,u,high_male,-0.4141659714018705
nyp.33433074868542,"Hofland,",The affectionate brothers,1816,f,,-0.41421395074906636
hvd.hwnp7a,"MacFarlane, Charles,",The romance of history,1832,m,,-0.4142766453215917
uiuo.ark:/13960/t2x353307,"Besant,","The case of Mr. Lucraft, and other tales",1876,m,mixed,-0.4143301151624904
mdp.39015025234355,"Sorel-Cameron, James.",Mag / | $c: James Sorel-Cameron.,1990,m,,-0.41444518948569736
njp.32101067632248,"Ouida,",Guilderoy,1889,f,mixed,-0.4144928903475859
uc1.32106019870283,"Slovo, Gillian,",Black orchids / | $c: Gillian Slovo,2008,f,high_female,-0.4146216329176707
inu.39000002330780,"Braddon, M. E.",Vixen,1879,f,high_female,-0.414626886659602
uiuo.ark:/13960/t9183xf2f,"Roberts,",Duty,1814,f,high_female,-0.4146434271592665
njp.32101067173193,"Scott, Walter,",Tales and romances,1833,m,mixed,-0.41477970321199786
mdp.39015018993454,"Reed, Jeremy.",Inhabiting shadows / | $c: Jeremy Reed.,1990,m,mixed,-0.4147832015641495
mdp.39076006257948,"Faulkner, William,",The collected short stories of William Faulkner / | $c: William Faulkner.,1958,m,mixed,-0.41502359590058985
uiuo.ark:/13960/t9p27d018,"Salter, Peter King.",Whitepatch,1887,m,high_female,-0.4150633033083844
uiuo.ark:/13960/t46q2gj8k,"Marsh-Caldwell, Anne,",Emilia Wyndham,1846,f,high_female,-0.41531020978964084
uc1.32106005478687,,"The Golden Lotus; | a translation, from the Chinese original, of the novel Chin Pʻing Mei, | $c: by Clement Egerton.",1972,u,mixed,-0.41531092416679966
nyp.33433074877204,"Kingsley, Henry,",Mademoiselle Mathilde,1868,m,mixed,-0.41532647585703925
nyp.33433076091127,"Graham, Alan.",The voyage home,1921,m,mixed,-0.4155385114568553
mdp.49015000804295,"Beti, Mongo,",The poor Christ of Bomba; | $c: translated by Gerald Moore.,1971,u,,-0.41556764377871913
inu.32000004519544,"Proust, Marcel,",Remembrance of things past / | $c: [Marcel Proust ; translated by C.K. Scott Moncrieff].,1949,m,high_female,-0.415587364676808
mdp.39015010720897,"Halley, David.","With Wingate in Burma, | being the story of the adventures of Sargent Tony Aubret of the King's (Liverpool) regiment during the 1843 Wingate expedition into Burma, | $c: by David Halley.",1945,m,high_male,-0.4155943837813708
inu.30000025878756,"Burmeister, Jon.",The Plekhanov original / | $c: by Jon Burmeister.,1989,m,,-0.4156153381216096
inu.30000110585795,"Holden, Sam.",Growing pains of a hapless househusband / | $c: Sam Holden.,2008,m,high_female,-0.41562798425818404
mdp.39015063920287,"Johnston, Mary,","Sir Mortimer, | $c: by Mary Johnston.",1925,f,,-0.4156335637696729
njp.32101019498243,"Nichols, Beverley,",Prelude;,1920,m,high_male,-0.4156336554402118
mdp.39076005253906,"Adams, Richard,",Shardik / | $c: Richard Adams.,1974,m,high_male,-0.41576010130799923
mdp.39015016455829,"Acton, Harold,","Prince Isidore, | a novel.",1950,m,,-0.41582916143238685
