htid,author,title,year,authgender,female_category,gb_subcity_intensity
mdp.39015007047379,"Grahame, Kenneth,",Dream days,1899,m,,2.1663308853794327
uiuo.ark:/13960/t59c79v7q,"Fothergill, Caroline.",An enthusiast,1887,f,high_female,2.165767872999372
uc2.ark:/13960/t8mc8v67t,"Reeve, James Knapp,",The three Richard Whalens;,1897,m,,2.1644084671659236
mdp.39015039791739,"Anthon, Rose Reinhardt.","Stories of India, moral, mystical, spiritual and romantic",1913,f,,2.1643850440993453
mdp.39015059405335,"Hyne, Charles John Cutcliffe Wright,",The new Eden,1892,m,high_male,2.162910412250725
mdp.39015077674433,"Harvey, Kenneth J.",Blackstrap Hawco / | $c: Kenneth J. Harvey.,2008,m,mixed,2.1619810232115686
hvd.hwjrd2,"Smollett, T.","The miscellaneous works of Tobias Smollett, M.D",1824,m,,2.1616013142535992
uc1.b4948775,"Hearne, John,",The sure salvation / | $c: John Hearne.,1981,m,high_male,2.1613910712934845
uiuo.ark:/13960/t1cj8x71t,"Lynch, Arthur,",Approaches,1892,m,,2.1603871413757347
mdp.39015031307765,"Trelawny, Edward John,",Adventures of a younger son,1890,m,,2.159286226345019
inu.30000011910175,"Cockton, Henry,",The sisters;,1844,m,,2.1577611070752987
uc2.ark:/13960/t05x26z1x,"Ouida,","Strathmore, or, Wrought by his own hand",1870,f,high_female,2.157745587410274
mdp.39015073486592,"Henty, G. A.",The curse of Carne's Hold,1895,m,mixed,2.1560087965158896
mdp.39015030121886,"Campert, Remco,",The gangster girl; | $c: translated from the Dutch by John Scott.,1968,u,high_male,2.1560087965158896
uva.x000206056,"Forbes, Rosita Torr.",Quest,1922,u,high_female,2.155869354317129
nyp.33433076022890,"O'Connor, Florence J.",The heroine of the Confederacy; or,1864,f,,2.155636990730761
uc1.$b674232,"Oppenhejm, Ralph.",Spain in the looking-glass; | translated by K. John.,1955,m,mixed,2.1537798836958864
uiuo.ark:/13960/t6c25g27h,"Norris, W. E.",Saint Ann's,1894,f,,2.1528988783396845
inu.32000003315076,"Lewis, Wyndham,",The human age. | $c: Illus. by Michael Ayrton.,1955,m,mixed,2.1528988783396845
uc1.b3796991,"Bates, H. E. (Herbert Ernest),",A crown of wild myrtle / | $c: H. E. Bates.,1962,m,high_female,2.151139028115387
uc1.32106014066408,"Pennac, Daniel",The fairy gunmother / | $c: Daniel Pennac ; translated from the French by Ian Monk,1998,m,mixed,2.1501214818637253
uiuo.ark:/13960/t6h13cz91,"Fenn, George Manville,",The sapphire cross,1871,m,,2.14938205265986
uiuo.ark:/13960/t2n59214k,"Kettle, Rosa Mackenzie,",Lewell pastures,1854,f,,2.149358953692061
mdp.39015020872399,,Dissonant voices : | the new Russian fiction / | $c: edited by Oleg Chukhontsev.,1991,u,,2.149326615971216
uc2.ark:/13960/t00001x7p,"Walker, William Sylvester,",What lay beneath,1909,m,high_male,2.1458076283461187
inu.30000001395387,"Lessing, Doris May,","Shikasta : | re, colonised planet 5 : personal, psychological, historical documents relating to visit by Johor (George Sherban) emissary (grade 9) 87th of the period of the last days / | $c: by Doris Lessing.",1979,f,,2.1452207163964583
