htid,author,title,year,authgender,female_category,transit
uiuo.ark:/13960/t16m3xb98,"Woollam, Wilfred.",All for naught,1890,m,,2.2668540599356213
uc2.ark:/13960/t04x56d3j,"White, Hester.",Mountains of necessity,1901,u,,2.2667256015323063
uc1.b3728085,"Butler, William,",Cire perdue.,1965,m,,2.264697889301567
njp.32101072577735,"Martineau, Harriet,",Illustrations of taxation,1824,f,,2.2645953168168846
njp.32101065599605,"Mordaunt, Elinor,",The garden of contentment,1908,f,,2.2630578437584865
njp.32101064790809,"Stanhope, Louisa Sidney.",The bandit's bride;,1807,f,,2.262392253568924
uiuo.ark:/13960/t8x92x07s,"Hatton, Ann Julia (Kemble)","Cambrian pictures, or, Every one has errors",1810,f,mixed,2.261573602912907
mdp.39015029990739,"Liezi,","Ch'ung-hu-ch'en ching, or, The treatise of the transcedent master of the void / | $c: translated by Léon Wieger ; English edition by Derek Bryce.",1992,u,high_male,2.2611644997173546
uiuo.ark:/13960/t08w42g96,"Pigott, Harriet,","The pride of ancestry: or, Who is she?",1804,f,high_female,2.261011124174731
njp.32101067643930,"Fendall, Percy.",Spiders and flies,1886,m,high_female,2.25998915205207
uc1.$b119714,"Ritchie, Paul.",The protagonist; | a novel.,1966,m,high_male,2.2589425889741013
uiuo.ark:/13960/t6pz5kb4n,"Fenn, George Manville,",The sapphire cross,1871,m,,2.2580499480648513
mdp.39015063913514,"Byron, Medora Gordon.",The Englishman,1812,f,mixed,2.257540184215279
mdp.39015008635743,"Murasaki Shikibu,","The bridge of dreams, being the second volume of ""The lady of the boat"" and the final part of ""The tale of Genji"", | $c: by Lady Murasaki, translated from the Japanese by Arthur Waley.",1933,f,high_male,2.256317689530686
uiuo.ark:/13960/t8v98nj98,"Laffan, De Courcy,",Bonnie Kate,1891,f,high_female,2.253876667868734
njp.32101067708097,"Bennett, William,",The king of the Peak,1823,m,,2.2529372669618013
uc1.$b56322,"Booth, Edward Charles.",Miss Parkworth and three short stories.,1924,m,high_female,2.252582022142881
uc1.$b242952,"Godden, Rumer,",The river.,1946,f,high_female,2.250934137667132
nnc1.0315302652,"Scott, Honoria.","Amatory tales of Spain, France, Switzerland, and the Mediterranean",1810,f,,2.250376938137138
nyp.33433074940093,"Bone, Gertrude Helena Dodd,",Provincial tales,1904,f,high_female,2.2495669583605156
uc1.b3945613,"Baroness, Orczy, Emmuska Orczy,",The turbulent duchess (H. R. H. Madame la Duchesse de Berri),1935,f,high_female,2.24938142010947
uiuo.ark:/13960/t3vt25c4b,,We Costelions,1882,f,high_female,2.245777937477542
uiuo.ark:/13960/t0cv4vh3v,"Cuthbertson, Catherine.",Adelaide,1813,f,high_female,2.2455257898636964
mdp.39015024865944,"Constantine, Murray,",Swastika night / | $c: by Murray Constantine.,1940,m,high_male,2.243108050514793
mdp.39015027198657,"Galli de Bibiena, Jean,",The fairy doll (La poupée) | $c: Translated from the French of Jean-Galli de Bibiena by H.B.V. [Vyvyan Beresford Holland] With an introduction by Shane Leslie.,1925,f,high_female,2.2422530158303062
uiuo.ark:/13960/t0qr5cj0h,"Muir, Alan.",Children's children,1879,m,high_female,2.241448872551217
