htid,author,title,year,authgender,period,diff
mdp.39015005310183,"Sproul, Barbara C.",Primal myths : | creating the world / | $c: Barbara C. Sproul.,1980,f,1951-2009,0.22258500812753135
mdp.39015025301287,"Lispector, Clarice.",Discovering the world / | $c: Clarice Lispector ; [translated and introduced by Giovanni Pontiero].,1992,f,1951-2009,0.22271514848902918
wu.89053532776,"Faldbakken, Knut.",Sweetwater / | $c: Knut Faldbakken ; translated from the Norwegian by Joan Tate.,1994,m,1951-2009,0.22272753745293994
mdp.39015002708728,"Potter, Dennis.",Pennies from heaven / | $c: Dennis Potter.,1981,m,1951-2009,0.22272753745293994
uc1.$b244762,"McClure, Jane,",The sandwiches are waiting & other stories.,1955,f,1951-2009,0.22272753745293994
mdp.39015031305603,"Straus, Dorothea.",Showcases.,1975,f,1951-2009,0.2227559328301726
inu.30000107538765,"McIntyre, Vestal.",You are not the one / | $c: Vestal McIntyre.,2006,u,1951-2009,0.22278114238459357
uc1.32106018531399,,Afsaneh : | short stories by Iranian women / | $c: edited and translated by Kaveh Basmenji,2005,u,1951-2009,0.22282393228617692
uc1.b2806176,"Addison, Doris M.",Mara.,1964,f,1951-2009,0.22282393228617692
uc1.$b243508,"O'Brian, Patrick,","The frozen flame, | a novel.",1953,m,1951-2009,0.22282393228617692
uc1.$b189631,"Masson, René,","The bottle organ, | a novel. Being L'orgue á bouteilles, | $c: translated by Constantine Fitz-Gibbon.",1952,u,1951-2009,0.22282393228617692
mdp.39015035317620,"Duras, Marguerite.",The little horses of Tarquinia. | $c: Translated by Peter DuBerg.,1960,f,1951-2009,0.22282393228617692
uc1.b3989214,"Collins, G. E. P.,",Twin flower : | a story of Bali / | $c: by G.E.P. Collins.,1992,u,1951-2009,0.22284224529207375
mdp.39015005387850,"Beti, Mongo,",Remember Ruben / | $c: Mongo Beti ; translated from the French by Gerald Moore.,1980,u,1951-2009,0.2228879609710278
mdp.39015057026471,"Bolaño, Roberto,",By night in Chile / | $c: Roberto Bolaño ; translated from the Spanish by Chris Andrews.,2003,m,1951-2009,0.22291253763794017
mdp.39015002250473,"Ngũgĩ wa Thiongʼo,",Devil on the cross / | $c: Ngũgĩ wa Thiongʾo ; translated from the Gĩkũyũ by the author.,1982,u,1951-2009,0.222933581408984
mdp.39015000627375,"Kriesel, Henry,",The rich man.,1952,m,1951-2009,0.222933581408984
mdp.39015040588959,"Foster, David,",In the new country / | $c: David Foster.,1999,m,1951-2009,0.2229677344144484
uc1.32106007984609,"Fauset, Jessie Redmon.",Plum bun : | a novel without a moral / | $c: Jessie Redmon Fauset.,1985,f,1951-2009,0.2229677344144484
mdp.39015050945644,"Khaĭtov, Nikolaĭ.",Wild tales / | $c: [by] Nikolai Haitov ; translated from the Bulgarian by Michael Holman.,1979,u,1951-2009,0.22320532053941877
mdp.39015008806088,"Silverberg, Robert.",Across a billion years.,1977,m,1951-2009,0.22320532053941877
inu.30000044714826,"Dye, Alison.",The sense of things / | $c: Alison Dye.,1994,f,1951-2009,0.22320532053941877
mdp.39015065322938,"Tarsis, Valeriĭ.",The gay life | $c: [by] Valeriy Tarsis; translated from the Russian by Drive Parker. -,1968,u,1951-2009,0.22320532053941877
mdp.39015056817649,"Citron, Lana,",Spilt milk / | $c: Lana Citron.,2001,f,1951-2009,0.22320532053941877
mdp.39015043789240,"Waddington, James.",Bad to the bone / | $c: James Waddington.,1998,m,1951-2009,0.22320532053941877
mdp.39015080858981,"Shaw, Ali.",The girl with glass feet / | $c: Ali Shaw.,2009,m,1951-2009,0.22320532053941877
mdp.39015041105654,"Chatzēs, Dēmētrēs,",The end of our small town / | $c: Dimitris Hatzis ; translated by David Vere ; edited by Dimitris Tziovas.,1995,u,1951-2009,0.22320532053941877
uc1.$b119982,"Forbes, Colin,",Night of the hawk | $c: [by] Richard Raine.,1968,m,1951-2009,0.22327790528210578
mdp.39015066688709,"Kirst, Hans Hellmut,",The wolves / | $c: Hans Hellmut Kirst ; Translated from the German by J. Maxwell Brownjohn.,1970,m,1951-2009,0.22344033816574072
uc1.$b188734,"Lesort, Paul-André,",The wind bloweth where it listeth; | $c: translated by Antonia White.,1955,u,1951-2009,0.22347370486577411
inu.30000107316949,"Abdolah, Kader,",My father's notebook / | $c: Kader Adbolah ; translated from the Dutch by Susan Massotty.,2006,u,1951-2009,0.22351811378308473
mdp.39015032233440,,The alphabet garden : | European short stories / | $c: edited by Pete Ayrton.,1994,u,1951-2009,0.2235463265070231
mdp.39015000612831,"Middleton, Christopher,","Pataxanadu, & other prose / | $c: [by] Christopher Middleton.",1977,m,1951-2009,0.22358013313312197
mdp.39015066619159,"Ongaro, Alberto,",Excelsior; | $c: translated from the Italian by Giles Cremonesi.,1967,m,1951-2009,0.22367282872081196
mdp.39015011825448,"Asher, Michael,",A desert dies / | $c: Michael Asher.,1986,m,1951-2009,0.22367282872081196
mdp.39015046389790,"ʻAṭṭār, Farīd al-Dīn,","The conference of the birds, Mantiq Ut-tair; | a philosophical religious poem in prose. | $c: [Rendered into English from the literal and complete French translation of Garcin de Tassy by S. C. Nott]",1954,u,1951-2009,0.22367282872081196
pst.000031149693,"Foster, Alan Dean,",Greenthieves / | $c: Alan Dean Foster.,1996,m,1951-2009,0.22367282872081196
mdp.39015061332972,"Benmalek, Anouar,",The child of an ancient people / | $c: Anouar Benmalek ; translated from the French by Andrew Riemer.,2003,u,1951-2009,0.22367282872081196
mdp.39015061465392,"Carpelan, Bo Gustaf Bertelsson,",Axel : | a novel / | $c: Bo Carpelan ; translated by David McDuff.,1991,m,1951-2009,0.22373879613291037
mdp.39015011336198,"Pavese, Cesare.",The house on the hill / | $c: Cesare Pavese ; translated from the Italian by W. J. Strachan.,1956,m,1951-2009,0.22373879613291037
uc1.32106011439327,"Ekman, Kerstin,",The spring / | $c: Kerstin Ekman ; translated from the Swedish by Linda Schenck,2001,f,1951-2009,0.22373879613291037
mdp.39015012295914,"Woolley, Leonard,","Dead towns and living men, being pages from an antiquary's notebook.",1954,u,1951-2009,0.22382643855184114
mdp.39015022293156,"Watson, Helen.",Women in the City of the Dead / | $c: Helen Watson.,1991,f,1951-2009,0.22382643855184114
mdp.39015030946845,"Boateng, Yaw M.",The return / | $c: Yaw M. Boateng.,1977,u,1951-2009,0.22382643855184114
uc1.$b251003,"West, David.",Wish me dead.,1960,m,1951-2009,0.22382643855184114
wu.89100017912,"Meyer, Deon.",Devil's peak / | $c: Deon Meyer.,2007,u,1951-2009,0.22382643855184114
inu.30000056741279,"Aluko, T. M.,","One man, one wife / | $c: T. M. Aluko.",1977,u,1951-2009,0.22382643855184114
mdp.39015002287590,"MacLean, Alistair,",Circus / | $c: Alistair MacLean.,1975,m,1951-2009,0.2239028327458824
inu.30000084024185,"Chamot, A. E. (Alfred Edward),","Selected Russian short stories, chosen and translated by A.E. Chamot.",1951,m,1951-2009,0.2239028327458824
uc1.b3687722,"Fuchs, Daniel,",The apathetic bookie joint / | $c: Daniel Fuchs.,1980,m,1951-2009,0.22396513480704217
mdp.39015041369060,"Everett, Peter",Matisse's war / | $c: Peter Everett.,1997,m,1951-2009,0.2239737139568484
inu.30000057555231,"Lady, Wroth, Mary,",Mary Wroth / | $c: selected and introduced by Josephine A. Roberts.,1996,f,1951-2009,0.224029552972965
inu.30000041110549,"Traven, B.",Government / | $c: B. Traven.,1994,u,1951-2009,0.2241303899196222
uc1.b3187086,"Dickson, Gordon R.","Soldier, ask not / | $c: Gordon R. Dickson.",1975,m,1951-2009,0.2241303899196223
mdp.39015005881043,"Hewison, Rowan.",Salt pan / | $c: by Rowan Hewison.,1980,m,1951-2009,0.2241303899196223
inu.30000036578189,"Alfeeva, Valerii͡a.",Pilgrimage to Dzhvari / | $c: Valeria Alfeyeva ; translated by Stuart and Jenny Robertson.,1992,u,1951-2009,0.2241303899196223
uc1.b2797914,"Bruce, Jean,",Deep freeze / | $c: by Jean Bruce ; translated from the French by Lawrence Wilson.,1963,f,1951-2009,0.2241303899196223
mdp.39015011336446,"Simenon, Georges,",The fourth Simenon omnibus / | $c: Georges Simenon.,1971,m,1951-2009,0.22431070005305176
