htid,author,title,year,authgender,female_category,urban_generics
mdp.39015008272851,"Jones, Gwyn,","Eirik the Red, and other Icelandic sagas / | $c: translated with an introd. by Gwyn Jones.",1980,u,high_male,18.06227873708547
uiuo.ark:/13960/t7xk8nz0d,"Daniel, Mackenzie,",Gertrude Cameron,1853,f,high_female,18.05439296206936
nyp.33433008279089,,The Comical creatures from Würtemberg,1851,m,mixed,18.05162765509357
mdp.39015008635743,"Murasaki Shikibu,","The bridge of dreams, being the second volume of ""The lady of the boat"" and the final part of ""The tale of Genji"", | $c: by Lady Murasaki, translated from the Japanese by Arthur Waley.",1933,f,high_male,18.050541516245488
uiuo.ark:/13960/t0cv4vb9h,,The curse of Ulrica; or The white cross knights of Riddarholmen,1815,u,,18.01671951571058
uc2.ark:/13960/t0ht2mh8h,"Craik, Dinah Maria Mulock,",A brave lady,1870,f,high_female,18.007473101337055
uiuo.ark:/13960/t49p3cb55,,Concealment,1821,u,,17.97660473298322
uc1.b3755150,"Merle, Robert,",The island. | $c: Translated from the French by Humphrey Hare.,1964,m,high_male,17.957371961635687
uc2.ark:/13960/t3ws8mh4r,"James, George Wharton,",How I eliminated fear,1921,m,high_male,17.95009872554299
uiuo.ark:/13960/t9s18bt0p,"Fisher,",Family failings,1849,f,mixed,17.949805815737083
mdp.39015059429913,"Dasent, George Webbe,",The vikings of the Baltic;,1875,m,high_male,17.937219730941703
uc1.b4108130,"Congreve, William,",Incognita;,1922,m,,17.933466838030906
uc2.ark:/13960/t3mw2ft21,"Trollope, Frances Milton,",Gertrude;,1855,f,high_female,17.922314911366005
uiuo.ark:/13960/t8mc9mw3b,"Helme, Elizabeth,",St. Margaret's cave,1801,f,mixed,17.907106883044207
uiuo.ark:/13960/t9086nz4n,"Grey,",An old country house,1850,f,high_female,17.902609802673457
mdp.39015063542362,"Malden, Charles,",Jane Austen,1889,f,high_female,17.886380209408237
nyp.33433076053358,"Poe, Edgar Allan,",The gold bug,1894,m,high_male,17.874165872259294
mdp.39015063546587,"Cunningham, J. W.",Sancho,1816,m,high_female,17.873633411778723
uiuo.ark:/13960/t56d67620,"Francis, Sophia L.","Angelo Guicciardini, or, The bandit of the Alps",1809,f,,17.862459065197974
nyp.33433074915590,"More, Hannah,",Cœlebs in search of a wife,1809,f,,17.857780635022678
njp.32101013133515,"Roche, Regina Maria,",The monastery of St. Columb;,1813,f,high_female,17.85156424331682
nyp.33433074877931,"Leeds, Virginia Niles.",The daughter of a hundred millions,1897,f,,17.836439846606616
njp.32101067178564,"Trollope, Frances Milton,","Second love, or, Beauty and intellect",1851,f,,17.80341469493849
mdp.39076000791272,,Shorter novels: seventeenth century. | $c: Edited by Philip Henderson.,1962,u,,17.794601764900957
mdp.39015037368100,"Malory, Thomas, Sir,","Le morte d'Arthur, | $c: by Sir Thomas Malory.",1923,m,high_male,17.77180996011216
uiuo.ark:/13960/t10p1qf0v,"Russell, William Clark,","List, ye landsmen!",1893,m,high_male,17.739033476090317
uiuo.ark:/13960/t6ww81c96,"Siddons, Henry,",Virtuous poverty,1804,m,mixed,17.71400735131305
uiuo.ark:/13960/t5db8d137,"Du Bois, Edward,",Old Nick;,1801,m,,17.6966789232554
uiuo.ark:/13960/t48p6k665,"Acton, Eugenia de,",The microcosm,1801,f,,17.68502962242462
uc2.ark:/13960/t33201j57,"Collins, Frances Cotton,",A broken lily,1882,u,high_female,17.6731527137126
mdp.39015043407140,"Hart, Josephine.",The stillest day / | $c: Josephine Hart.,1998,f,,17.66901517326678
mdp.39015025360580,,Shorter novels. | $c: Edited by Philip Henderson.,1960,u,mixed,17.651967392002053
uiuo.ark:/13960/t4xh07n58,"Oliphant,",Kirsteen,1890,f,high_female,17.579841781423966
njp.32101069157467,"Cottin,",Amelia Mansfield,1809,f,,17.56882587536675
uiuo.ark:/13960/t7dr3ft5q,"Pisani, Marianna.",The banker-lord,1840,f,,17.55207114439504
uiuo.ark:/13960/t9r21j57d,,The ordeal;,1813,u,high_female,17.531044558071585
uiuo.ark:/13960/t1jh42h3q,,Laura Erle,1873,u,high_female,17.51252145283878
mdp.39015004201318,"Gordon, R. K. (Robert Kay),","The story of Troilus as told by Benôit de Sainte-Maure, Giovanni Boccaccio (translated into English prose) Geoffrey Chaucer and Robert Henryson; translations and introduction by R. K. Gordon.",1934,m,,17.500328131152457
uc2.ark:/13960/t89g5kb8w,"Westerman, Percy Francis,",The nameless island,1920,m,high_male,17.493658548776068
mdp.39015004734466,"Diop, Birago.",Tales of Amadou Koumba /,1966,u,high_male,17.491385492644874
mdp.39015062387199,"Dumbarton, Alfred.","Feringhi, and other stories of Indian gipsy life",1902,u,,17.482517482517483
uiuo.ark:/13960/t06x00p8s,"Stretton, Julia Cecilia Collinson,",The ladies of Lovel-Leigh,1862,f,,17.481295014334663
mdp.39015048481249,"Scheuzger, Otto.",The new trail; | among the tribes in North Thailand. | $c: Translated from the German by Joyce Baldwin.,1963,m,high_male,17.400988376139765
uiuo.ark:/13960/t1mg8774g,"Reeve, Sophia.",The mysterious wanderer,1807,f,mixed,17.399878200852594
uiuo.ark:/13960/t0ns19n7m,"Moore, George,",Grasville Abbey,1801,m,mixed,17.376625955714427
njp.32101069166021,"Grant, James,",Morley Ashton,1876,m,,17.365884719468603
mdp.39015070494375,"Richardson, Samuel,",The works of Samuel Richardson,1883,m,mixed,17.34842951059167
uiuo.ark:/13960/t7zk5nt75,,Constancy and contrition,1844,u,,17.347773289385643
uc2.ark:/13960/t46q1vw5s,"Hall, H. R.",Days before history;,1908,u,high_male,17.346483619963326
nyp.33433081712709,"Hubbard, Mina.",A woman's way through unknown Labrador;,1908,f,high_male,17.310521912235654
inu.32000002750190,"Allen, Grant,",An army doctor's romance,1893,m,,17.282499740762503
mdp.39015059376031,,The New British novelist;,1830,u,,17.256850969835025
uiuo.ark:/13960/t46q2jp29,"Pickering, Ellen,",The fright,1839,f,,17.237056537545442
mdp.39015018047657,"Winny, James.","The descent of Euphues,",1957,m,mixed,17.206204065580216
nyp.33433066722590,,"Rosemay Lodge, or, Domestic vicissitudes",1820,u,mixed,17.20356113715539
uiuo.ark:/13960/t7xk8tg1p,"Kelty, Mary Ann,",The story of Isabel;,1826,f,,17.191977077363898
mdp.39015063044153,"Wast, Hugo,",The strength of lovers / | $c: by Hugo Wast [pseud.] translated from the Spanish by Louis Imbert and Jacques Le Clerq.,1930,u,high_male,17.148506062501262
wu.89004950820,"Oakeshott, R. Ewart.","The blindfold game; | the day at Jutland, | $c: written and illustrated by Ewart Oakeshott.",1969,m,high_male,17.124916753876892
uiuo.ark:/13960/t9p27588b,"Cathcart,",Adelaide;,1833,f,high_female,17.108639863130882
uiuo.ark:/13960/t8ff4985r,"Manning, Anne,",The ladies of Bever Hollow,1858,f,high_female,17.10701387568903
mdp.39015031938619,"Richardson, John,",Wacousta;,1832,m,high_male,17.060815244494606
uiuo.ark:/13960/t0bv7vw62,"Greg, Percy,",Errant,1880,m,high_female,17.057023762566228
njp.32101064919051,"Craik, Georgiana M.",Patience Holt,1891,f,,17.036420080260466
uc1.32106000155983,"Powell, Robert,","Crisis in consciousness: | commentaries on love, life and death and other matters.",1967,m,high_male,17.01941428901397
nyp.33433082300926,,Brother Reginald's golden secret,1871,u,high_male,17.001020061203672
wu.89093075133,"Hall, Michael,",The battle of Moira : | an adaptation of Sir Samuel Ferguson's Congal / | $c: by Michael Hall ; artwork by Gary Hamilton.,1995,m,,16.999575010624735
uc1.$b56506,"Driberg, Jack Herbert.",People of the small arrow / | $c: by J. H. Driberg ; with drawings by Pearl Binder.,1930,m,high_male,16.99124297477454
uiuo.ark:/13960/t8rb7nw7t,"Reid, Mayne,",The giraffe-hunters,1867,m,high_male,16.976967913530643
mdp.39015009212187,"Murasaki Shikibu,","Blue trousers : | being the fourth part of ""The tale of Genji"" / | $c: by Lady Murasaki ; translated from the Japanese by Arthur Waley.",1928,f,mixed,16.965858230057037
uiuo.ark:/13960/t53f57481,"Hatton, Joseph,",Under the great seal,1893,m,,16.962569263824495
nyp.33433074949516,"Craik, Georgiana M.",Riverston,1857,f,,16.955474922852588
inu.39000005566182,,Tales of Mozambique.,1980,u,high_male,16.952025767079167
nyp.33433075723571,"Ross,","The balance of comfort; or, The old maid and married woman",1817,f,high_female,16.945642145694865
