htid,author,title,year,authgender,female_category,intl_subcountry_intensity
mdp.39015004264944,"Upward, Edward.","The railway accident, and other stories.",1969,m,high_male,29.184603037283328
inu.30000113547149,"Blandy, Mary.",Razor edge: | the story of a youth club.,1967,f,mixed,29.18252453155969
njp.32101068163813,,Lavinia Fitz-Aubyn,1816,u,high_female,29.17625701040621
mdp.39015054265841,"Smith, Iain Crichton,","The red door : | the complete English stories, 1949-76 / | $c: Iain Crichton Smith ; edited with an introduction by Kevin MacNeil.",2001,u,mixed,29.175547649342327
uc1.b3741287,"Sullivan, Anthony.",Mad Hannah Rafferty : | a novel / | $c: Tony Sullivan.,1990,m,high_female,29.16333628567109
uiuo.ark:/13960/t05x2v036,,Lynton Abbott's children,1879,u,,29.161058770749214
mdp.39015031223848,"Bentley, Phyllis Eleanor,","Inheritance, | $c: by Phyllis Bentley.",1932,f,,29.16089523948385
inu.30000110555517,"Humphrey, Andrew.",Other voices : | stories / | $c: Andrew Humphrey.,2008,m,mixed,29.15388934479333
uiuo.ark:/13960/t13n2tk4s,"Wood, Henry,",The shadow of Ashlydyat,1863,f,high_female,29.145521876285834
uc1.$b579104,"Mosley, Nicholas,",Accident; | a novel.,1965,m,,29.136585839619283
