htid,author,title,year,authgender,female_category,gb_england_intensity
uiuo.ark:/13960/t40s04d2t,"Downes, Joseph.",The mountain Decameron,1836,m,mixed,20.531648932958127
mdp.39015060459172,,'Blackwood' tales from the outposts ...,1932,u,high_male,20.53135137354741
uc1.b3176860,"Lamming, George,",Of age and innocence.,1958,m,,20.529554454643197
mdp.39015034429038,"Long, Earl G.",Consolation / | $c: Earl G. Long.,1994,m,,20.526504849386768
njp.32101068605607,"Warner, Susan,",Queechy,1852,f,,20.52408863991694
mdp.39015018941461,"White, Kenneth,",The blue road / | $c: Kenneth White.,1990,m,high_male,20.52003634977868
mdp.39076006301159,"Mann, Thomas,",Buddenbrooks; translated by H.T. Lowe-Porter.,1930,m,,20.506060273170014
mdp.39015018950041,"Conlon, Evelyn.",Stars in the daytime / | $c: Evelyn Conlon;l,1990,f,,20.501781092232388
mdp.49015001176073,"Hole, Christina.",Folk-tales of many nations / | $c: by Christina Hole ; illustrated by Rhoda Jackson.,1948,f,,20.50020500205002
mdp.39015073894514,,In praise of navigation : | twentieth century stories from the Dutch / | $c: edited by PC Evans & Paul Vincent.,2007,u,mixed,20.499604650481743
uc1.$b381894,"Harwich, Christopher,","Red dust; memories of the Uganda police, 1935-1955.",1961,m,high_male,20.49858875100522
mdp.39015063514445,"Hawker, Mary Elizabeth.",The Hôtel d'Angleterre,1891,f,high_female,20.49840405282732
uc1.$b163403,"De Polnay, Peter,",Out of the square.,1950,m,mixed,20.485856223432407
mdp.39015014856333,"Whiteson, Leon.",Nora Eckdorf.,1967,m,,20.48308569807932
uc1.b3327554,"Pepys, Charlotte,",Domestic sketches in Russia,1861,f,high_female,20.48247610377788
uiuo.ark:/13960/t6f19jp8p,"Peake, Richard Brinsley,","Cartouche, the celebrated French robber",1844,m,high_male,20.472575279365348
uiuo.ark:/13960/t9n30f94j,"Duchess,",A point of conscience,1896,f,mixed,20.47006717903865
mdp.39015059423239,"Penny, Fanny Emily Farr.",The Sanyasi.,1936,f,,20.467972275201188
uc1.$b244926,"Spewack, Samuel,",The busy busy people / | $c: by Samuel Spewack.,1949,m,,20.464021691862992
uc2.ark:/13960/t7rn33b3d,"Lever, Charles James,",[Charles Lever's novels,1872,m,mixed,20.454827704603066
