htid,author,title,year,authgender,female_category,female_fraction
uiuo.ark:/13960/t40s04d2t,"Downes, Joseph.",The mountain Decameron,1836,m,mixed,0.365924476077501
uiuo.ark:/13960/t7br94x31,"Downes, Joseph.",The mountain Decameron,1836,m,mixed,0.365924476077501
uiuo.ark:/13960/t9862vx7d,"Downes, Joseph.",The mountain Decameron,1836,m,mixed,0.365924476077501
mdp.39015063697877,"(Felix Alan), Walbank, F. Alan","England, yesterday & to-day, in the works of the novelists, 1837 to 1938.",1949,m,mixed,0.3658762357456874
mdp.39015008603857,"Maugham, W. Somerset (William Somerset),",Altogether : | being the collected stories of W. Somerset Maugham.,1934,m,mixed,0.3658517224600215
inu.32000009540172,"Karanja, R.","The adventures of Ngondo, Mungai and Wangari / | $c: R. Karanja ; illustrated by Ruth Yudelowitz.",1951,u,mixed,0.3656804733727811
mdp.39015073893789,,The new Granta book of the American short story / | $c: edited and introduced by Richard Ford.,2007,u,mixed,0.3656121053056835
inu.30000118521164,"Tremearne, Arthur John Newman,",Hausa superstitions and customs;,1913,m,mixed,0.3655976739880868
uiuo.ark:/13960/t6834f325,"Robinson, F. W.",No man's friend,1867,m,mixed,0.365519983182773
uiuo.ark:/13960/t2j682q33,"Robinson, F. W.",No man's friend,1867,m,mixed,0.365519983182773
uiuo.ark:/13960/t0zp4nn1r,"Robinson, F. W.",No man's friend,1867,m,mixed,0.365519983182773
inu.30000084059991,"Yonge, Charlotte M.",The trial,1884,f,mixed,0.3655183204862166
nyp.33433074970835,,Artist and craftsman,1860,u,mixed,0.3653978849875836
inu.30000037512682,"Thomas, Donald, 1926-",The raising of Lizzie Meek / | $c: Donald Thomas.,1993,m,mixed,0.3653543307086614
mdp.39015070528370,"Richardson, Samuel,",The works of Samuel Richardson,1883,m,mixed,0.3653395784543325
uiuo.ark:/13960/t5x645d8f,"Wills, C. J.",The Pit Town coronet;,1888,m,mixed,0.3653169869581663
uiuo.ark:/13960/t2t44c55w,"Wills, C. J.",The Pit Town coronet;,1888,m,mixed,0.3653169869581663
nyp.33433075761068,"Farjeon, B. L.",A secret inheritance,1887,m,mixed,0.3651000997651394
nyp.33433075761050,"Farjeon, B. L.",A secret inheritance,1887,m,mixed,0.3651000997651394
nyp.33433075761076,"Farjeon, B. L.",A secret inheritance,1887,m,mixed,0.3651000997651394
mdp.39015005879245,,The Penguin book of Canadian short stories / | $c: edited by Wayne Grady.,1980,u,mixed,0.365055719759168
uc1.b3327172,"Roberts, Morley,","Followers of the sea; | a set of sea-comedies, | $c: by Morley Roberts.",1923,u,mixed,0.3650455990665665
mdp.39015038538826,"Hope, Christopher.",Darkest England / | $c: Christopher Hope.,1996,m,mixed,0.365034965034965
mdp.39015014858750,"West, Anthony,",Another kind.,1951,m,mixed,0.3650067294751009
uiuo.ark:/13960/t3qv42c6x,"Braddon, M. E.",Fenton's quest,1871,f,mixed,0.36495937169857
uiuo.ark:/13960/t9p27dz0b,"Braddon, M. E.",Fenton's quest,1871,f,mixed,0.36495937169857
uiuo.ark:/13960/t6h13jw1b,"Braddon, M. E.",Fenton's quest,1871,f,mixed,0.36495937169857
uc2.ark:/13960/t6ww7b84s,"Topham, Anne,",Daphne in the Fatherland,1913,f,mixed,0.3649299008943679
uc1.$b396531,"Hughes, Owain,",Hermit's reprieve: | a novel.,1969,u,mixed,0.3648961968415449
uc1.32106012974736,"Dunn, Stephen",The light of the body / | $c: Stephen Dunn,1996,m,mixed,0.3648376888260696
