htid,author,title,year,authgender,female_category,intl_subcity_intensity
hvd.hwkd7z,"Lewis, M. G.",Romantic tales,1808,m,mixed,28.33563560372614
uc1.b3752241,"Simenon, Georges,",Maigret and the Saturday caller / | $c: Georges Simenon ; translated from the French by Tony White.,1964,m,mixed,28.331287184814432
mdp.39015008246616,"Turgenev, Ivan Sergeevich,",A sportsman's sketches,1895,f,,28.331180163640894
wu.89080350002,"Enquist, Anna.",The secret / | $c: Anna Enquist ; translated by Jeannette K. Ringold.,2000,f,high_female,28.33061831574474
uiuo.ark:/13960/t9862wm3v,"Glaister, Elizabeth.",The perfect path,1884,f,high_female,28.330618315744736
mdp.39015071561669,"Macdonald, Ross,",The dark tunnel / | $c: Ross Macdonald.,1972,m,,28.329503604142403
inu.30000110557422,"Topolski, Carol.",Monster love / | $c: Carol Topolski.,2008,f,high_female,28.3291469149559
inu.32000003292085,"Grant, James,",The Cameronians,1881,m,mixed,28.32200453152073
mdp.39015055899911,"Unsworth, Tania.",The seahorse / | $c: Tania Unsworth.,2002,f,high_female,28.321123782191673
uc2.ark:/13960/t9c53mj5k,"Wilson, Romer,",Martin Schüler,1919,u,,28.32024035264856
uc1.$b800284,"Walder, David.",The Fair Ladies of Salamanca.,1967,m,,28.31657935721365
mdp.39015010529660,"Lewis, Wyndham,","The vulgar streak, | $c: by Wyndham Lewis.",1942,m,,28.31289142572396
uiuo.ark:/13960/t9571s43c,"Black, Clementina.",Orlando,1880,f,high_female,28.3091357625268
njp.32101041607241,"Brown, Thomas,","Brighton; or, The Steyne",1818,m,high_male,28.309008555611474
uc1.$b803582,"Winser, David Michael de Reuda,","There was no yesterday,",1943,m,,28.307946911711863
mdp.39015002754854,"Hudson, Stephen,","Céleste, and other sketches. | $c: Wood engravings by John Nash.",1930,u,mixed,28.30455703368242
uc2.ark:/13960/t9d50n23x,"Lever, Charles James,",The Martins of Cro' Martin,1872,m,,28.302341266017923
uc2.ark:/13960/t8cf9m31k,"Henningsen, C. F.",The white slave;,1845,u,high_male,28.301619796039652
uc1.32106012468267,"Nafzāwī, ʻUmar ibn Muḥammad",The perfumed garden of sensual delight = | ar-rawd̲ al-ʻât̲ir fı̂ nuzhatiʼl khât̲ir / | $c: by Muhammad ibn Muhammad al-Nafzawi ; translated from the Arabic with a short introduction and notes by Jim Colville,1999,u,high_male,28.29895010895096
njp.32101064791088,"Stepney, Catherine Pollock Manners,",The new road to ruin,1833,f,,28.295046598404863
mdp.39015012418243,"Aksenov, Vasiliĭ,",A starry ticket.,1962,u,,28.293211986890817
uiuo.ark:/13960/t0sq9m438,"Hook, Theodore Edward,",The man of sorrow;,1808,m,mixed,28.29082972962049
mdp.39015061161264,"Gibson, Miles.",Vinegar soup / | $c: Miles Gibson.,1987,m,,28.289876939035317
uiuo.ark:/13960/t8jd57r2q,"Gaskell, Elizabeth Cleghorn,",Sylvia's lovers,1863,f,,28.280195256304637
uiuo.ark:/13960/t6ww7pz5c,"Clarke, Charles,",Crumbs from a sportsman's table,1865,m,,28.27981592410726
nyp.33433074856307,"Gissing, George,",In the year of jubilee,1894,m,,28.27654460624912
mdp.39015045695684,"Citron, Lana,",Sucker / | $c: Lana Citron.,1998,f,,28.27465103128069
uiuo.ark:/13960/t8nc6n038,"Pemberton,",The world's furniture,1861,f,high_female,28.274545840107443
nyp.33433075812325,"Aimard, Gustave,",The bee hunters;,1868,m,high_male,28.270309390265965
mdp.39015005282192,"Griffin, Gerald,", Holland-tide;,1827,m,,28.267682664536352
uiuo.ark:/13960/t25b0r426,"Russell, William Clark,",An ocean tragedy,1890,m,mixed,28.26383000590971
mdp.39015029916445,"Mackay, Shena.",An Advent calendar.,1971,f,high_female,28.263327245847464
mdp.39015046480664,"Brookner, Anita.",Falling slowly / | $c: Anita Brookner.,1998,f,high_female,28.26168055257238
uc2.ark:/13960/t4wh2g63t,"Grant, Sybil,",Samphire,1912,f,high_female,28.25906497818754
uc2.ark:/13960/t6qz2cw12,"Strindberg, August,",The confession of a fool,1912,m,high_female,28.257817260228
mdp.39015053240621,,Best Irish short stories / | $c: edited by David Marcus.,1976,u,,28.25698988697204
mdp.39015002334871,"O'Faolain, Julia.",No country for young men / | $c: [by] Julia O'Faolain.,1980,f,,28.247523633761443
